DNI,Nombre,Apellido,Telefono,e-mail,CodObraSocial,FechaNacimiento,Calle,Numero,Localidad,Estado
40258741,Martina,Lopez,1162459831,martina@gmail.com,2,14/3/2002,Av. Rivadavia,4521,Caballito,1
35987412,Nicolas,Fernandez,1173214450,nico@gmail.com,1,22/8/1999,Belgrano,1120,San Miguel,1
44523109,Julieta,Alvarez,1149582210,juli@gmail.com,3,5/12/2001,Moreno,325,Quilmes,1
37890411,Tomas,Perreyra,1168201194,tomas@gmail.com,2,30/6/1998,Corrientes,25550,Tigre,1
41258930,Sofia,Herrera,1172390041,sofia@gmail.com,5,11/1/2003,Las Heras,845,Pilar,1
43125780,Agustin,Molina,1163905521,agustin@gmail.com,3,27/4/2000,Maipu,1875,Vicente Lopez,1
39015422,Camila,Duarte,1172498834,cami@gmail.com,2,9/2/2004,Santa Fe,1590,Escobar,1
36578490,Rodrigo,Salvatierra,1159824401,rodrigo@gmail.com,1,18/5/1997,Sarmiento,1550,Moron,1
45321904,Emilia,Costa,1167042289,emilia@gmail.com,2,12/11/2005,Constitucion,410,Lomas de Zamora,1
38451277,Lautaro,Benitez,1145689012,lautaro@gmail.com,5,3/9/1998,Mitre,320,Escobar,1
